datetime,GHI,GHI_climatology,power_true_MW,power_clim_MW
3056,426,420.8,17.44896,17.235968
3057,640,632.6258064516129,26.2144,25.912353032258064
3058,822,812.0,33.66912,33.25952
3059,963,941.0516129032258,39.44448,38.54547406451613
3060,1035,1007.8451612903226,42.3936,41.28133780645162
3061,1041,1018.3806451612903,42.63936,41.71287122580645
3062,957,951.2516129032258,39.19872,38.963266064516134
3063,836,820.5612903225806,34.24256,33.61019045161291
3064,664,657.9483870967742,27.19744,26.94956593548388
3065,456,453.8258064516129,18.67776,18.588705032258066
3066,233,240.9806451612903,9.54368,9.87056722580645
3067,41,52.464516129032255,1.67936,2.1489465806451618
3068,0,0.0,0.0,0.0
3069,0,0.0,0.0,0.0
3070,0,0.0,0.0,0.0
3071,0,0.0,0.0,0.0
3072,0,0.0,0.0,0.0
3073,0,0.0,0.0,0.0
3074,0,0.0,0.0,0.0
3075,0,0.0,0.0,0.0
3076,0,0.0,0.0,0.0
3077,0,0.0,0.0,0.0
3078,22,29.348387096774193,0.90112,1.2021099354838711
3079,200,204.8516129032258,8.192,8.39072206451613
3080,425,420.8,17.408,17.235968
3081,644,632.6258064516129,26.37824,25.912353032258064
3082,828,812.0,33.91488,33.25952
3083,972,941.0516129032258,39.81312,38.54547406451613
3084,1046,1007.8451612903226,42.84416,41.28133780645162
3085,1051,1018.3806451612903,43.04896,41.71287122580645
3086,985,951.2516129032258,40.3456,38.963266064516134
3087,862,820.5612903225806,35.30752,33.61019045161291
3088,680,657.9483870967742,27.8528,26.94956593548388
3089,463,453.8258064516129,18.96448,18.588705032258066
3090,235,240.9806451612903,9.6256,9.87056722580645
3091,40,52.464516129032255,1.6384,2.1489465806451618
3092,0,0.0,0.0,0.0
3093,0,0.0,0.0,0.0
3094,0,0.0,0.0,0.0
3095,0,0.0,0.0,0.0
3096,0,0.0,0.0,0.0
3097,0,0.0,0.0,0.0
3098,0,0.0,0.0,0.0
3099,0,0.0,0.0,0.0
3100,0,0.0,0.0,0.0
3101,0,0.0,0.0,0.0
3102,22,29.348387096774193,0.90112,1.2021099354838711
3103,198,204.8516129032258,8.11008,8.39072206451613
3104,418,420.8,17.12128,17.235968
3105,631,632.6258064516129,25.84576,25.912353032258064
3106,814,812.0,33.34144,33.25952
3107,936,941.0516129032258,38.33856,38.54547406451613
3108,1009,1007.8451612903226,41.32864,41.28133780645162
3109,1017,1018.3806451612903,41.65632,41.71287122580645
3110,944,951.2516129032258,38.66624,38.963266064516134
3111,822,820.5612903225806,33.66912,33.61019045161291
3112,652,657.9483870967742,26.70592,26.94956593548388
3113,443,453.8258064516129,18.14528,18.588705032258066
3114,226,240.9806451612903,9.25696,9.87056722580645
3115,40,52.464516129032255,1.6384,2.1489465806451618
3116,0,0.0,0.0,0.0
3117,0,0.0,0.0,0.0
3118,0,0.0,0.0,0.0
3119,0,0.0,0.0,0.0
3120,0,0.0,0.0,0.0
3121,0,0.0,0.0,0.0
3122,0,0.0,0.0,0.0
3123,0,0.0,0.0,0.0
3124,0,0.0,0.0,0.0
3125,0,0.0,0.0,0.0
3126,22,29.348387096774193,0.90112,1.2021099354838711
3127,195,204.8516129032258,7.9872,8.39072206451613
3128,413,420.8,16.91648,17.235968
3129,626,632.6258064516129,25.64096,25.912353032258064
3130,807,812.0,33.05472,33.25952
3131,947,941.0516129032258,38.78912,38.54547406451613
3132,1019,1007.8451612903226,41.73824,41.28133780645162
3133,1028,1018.3806451612903,42.10688,41.71287122580645
3134,968,951.2516129032258,39.64928,38.963266064516134
3135,847,820.5612903225806,34.69312,33.61019045161291
3136,674,657.9483870967742,27.60704,26.94956593548388
3137,465,453.8258064516129,19.0464,18.588705032258066
3138,242,240.9806451612903,9.91232,9.87056722580645
3139,47,52.464516129032255,1.92512,2.1489465806451618
3140,0,0.0,0.0,0.0
3141,0,0.0,0.0,0.0
3142,0,0.0,0.0,0.0
3143,0,0.0,0.0,0.0
3144,0,0.0,0.0,0.0
3145,0,0.0,0.0,0.0
3146,0,0.0,0.0,0.0
3147,0,0.0,0.0,0.0
3148,0,0.0,0.0,0.0
3149,0,0.0,0.0,0.0
